FirstName,LastName,Patronymic,DateOfBirth,MathScore,RussianScore,PhysicsScore
Adelheid,Willes,Mohun,08/04/2019,46,88,14
Selia,Willshee,Junkinson,06/11/2018,18,50,63
Craggie,Wilmington,Lintin,01/11/1997,67,100,42
Simona,Wilse,Houlison,30/09/2002,16,40,59
Danit,Wilshaw,Sugge,28/05/2016,32,49,18
Eldredge,Wiltshaw,Bremeyer,25/08/2001,46,29,44
Olvan,Wingfield,Pennetta,19/08/2013,77,19,68
Hillie,Winsom,Brine,14/09/2001,49,15,86
Sianna,Witherdon,Bernli,20/03/2006,70,23,36
Evita,Wolvey,McGurgan,11/11/2002,5,20,44
Erwin,Wontner,Garm,17/03/2018,29,99,46
Theodore,Woodier,Pahler,05/10/2001,14,68,99
Trixie,Woodrow,Kibel,12/06/2001,59,29,16
Hartwell,Woodus,Cadalleder,26/10/2007,5,63,98
Alexandra,Woolner,Ounsworth,05/08/2001,0,12,42
Bendite,Worcs,Ramsell,06/01/2021,46,49,75
Ardys,Worsfold,Oxton,26/02/2011,40,51,49
Lemmie,Wrench,Cappleman,23/01/2000,50,74,60
Winn,Yakobovicz,Arsnell,15/12/2010,31,17,60
Bennie,Yeardsley,Sennett,20/07/2016,57,75,78
Engracia,Yersin,Huddleston,30/10/2003,72,48,34
Orville,Yockney,Babbidge,07/11/2020,23,34,70
Lucine,Yorkston,Cardus,18/03/1998,62,27,13
Deeanne,Yuill,MacCleod,24/03/2019,19,77,43
Jozef,Yuill,Vockins,04/01/2006,51,37,96
Ezra,Yuryaev,McLese,16/08/2000,82,25,67
Diannne,Zanneli,Hounihan,02/06/2003,21,93,29
Feodor,Zellmer,Stanborough,03/09/2014,50,3,39
Anson,Zimmerman,Squibe,27/10/1998,40,12,94
Christoffer,Zoellner,Andreu,11/06/1998,3,4,35
Marie,Alanbrooke,Pohling,05/06/2010,91,23,18
